
#################################################################
#@  
#@  
#@  
####################################   2025-11-30[Nov-Sun]15-52PM 



opencloud-1  | 2025-11-30T19:44:07Z INF   API Level:       2 line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF ------------------------------------------- line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG   Exports: line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG      $JS.API.> line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG Enabled JetStream for account "$G" line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG   Max Memory:      -1 B line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG   Max Storage:     -1 B line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z DBG Recovering JetStream state for account "$G" line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Starting restore for stream '$G > KV_graph' line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Restored 0 messages for stream '$G > KV_graph' in 0s line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Starting restore for stream '$G > main-queue' line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
opencloud-1  | 2025-11-30T19:44:07Z INF   Restored 0 messages for stream '$G > main-queue' in 0s line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:21 service=nats
